age,annual_income,emp_length,home_ownership,loan_amount,purpose,loan_term,verification_status,revol_util,revol_bal,earliest_credit_line,credit_inquiries_last_6m,open_credit_lines,credit_utilization,delinquency_2yrs,total_current_balance,loan_status,recovered_amount,total_rec_prncp,funded_amnt
23,93519,4 years,RENT,19867,credit_card, 36 months,Not Verified,0.1665631492304677,16694,2017-08-15 11:00:43.577669,0,10,0.5838314913791839,1,96758,fully_paid,0.0,19867.0,19867
45,45437,9 years,MORTGAGE,28389,debt_consolidation, 36 months,Verified,0.41852160024529894,0,2010-07-27 11:00:43.577672,2,5,0.9195249232752971,2,82104,charged_off,9612.662457761397,19939.57736217677,28389
51,64384,4 years,MORTGAGE,1000,major_purchase, 36 months,Source Verified,0.34312482818386786,21375,2007-01-25 11:00:43.577676,5,12,0.5371471157290395,0,62450,fully_paid,0.0,1000.0,1000
59,83751,9 years,OWN,14525,debt_consolidation, 36 months,Source Verified,0.0,16492,2008-08-23 11:00:43.577679,2,6,0.3978349237947306,1,19858,fully_paid,0.0,14525.0,14525
23,45791,4 years,MORTGAGE,23342,debt_consolidation, 60 months,Not Verified,0.7894089616944058,30952,2007-06-10 11:00:43.577682,0,4,0.4233087956357818,0,76619,fully_paid,0.0,23342.0,23342
42,72634,2 years,RENT,14128,credit_card, 36 months,Verified,0.0022061864508315376,7566,2020-01-17 11:00:43.577686,1,5,0.3876149817494688,0,83459,fully_paid,0.0,14128.0,14128
54,36649,2 years,OWN,1000,debt_consolidation, 36 months,Source Verified,0.4060847360084954,20155,2019-10-30 11:00:43.577705,5,14,0.27019523138533724,1,39665,fully_paid,0.0,1000.0,1000
33,54965,5 years,MORTGAGE,5962,debt_consolidation, 36 months,Not Verified,0.5126746083529765,4966,2022-03-17 11:00:43.577709,4,10,0.46306427051468607,1,17968,charged_off,2172.9251274546873,3934.528142898977,5962
43,77994,4 years,OWN,17299,credit_card, 60 months,Source Verified,0.25604260513015564,13899,2019-06-16 11:00:43.577713,2,8,0.4621560013952376,0,62807,fully_paid,0.0,17299.0,17299
46,30175,7 years,MORTGAGE,17045,debt_consolidation, 60 months,Verified,0.5279919381323066,0,2005-12-02 11:00:43.577716,5,9,0.6200325969250281,0,82037,charged_off,2750.0717876579047,11424.7000866731,17045
48,81011,< 1 year,MORTGAGE,19707,debt_consolidation, 60 months,Source Verified,0.1983645041230367,28560,2008-05-26 11:00:43.577720,5,4,0.3955021893654313,0,30798,fully_paid,0.0,19707.0,19707
63,69509,5 years,RENT,9532,debt_consolidation, 36 months,Verified,0.43422028038653554,25526,2013-08-07 11:00:43.577723,3,4,0.9021851318886251,1,65861,fully_paid,0.0,9532.0,9532
49,83812,6 years,MORTGAGE,16819,home_improvement, 36 months,Source Verified,0.0,10273,2006-06-17 11:00:43.577727,1,8,0.31265888653978674,1,22776,default,8253.380892977479,6935.556160034273,16819
37,75597,10 years,RENT,8378,credit_card, 60 months,Not Verified,0.6346458182586996,17618,2012-04-28 11:00:43.577730,3,9,0.5294521895375947,0,15899,default,770.764527527322,3181.8072182874403,8378
36,104103,4 years,RENT,16819,credit_card, 36 months,Source Verified,0.40017511724812416,15384,2007-04-26 11:00:43.577733,1,6,0.35048544470725207,0,56146,default,2316.196511189007,3876.486308113084,16819
24,73130,10+ years,RENT,15372,credit_card, 36 months,Source Verified,0.0810575190914361,8876,2006-09-06 11:00:43.577737,1,2,0.39226658501024664,0,25568,fully_paid,0.0,15372.0,15372
58,59264,2 years,OWN,9253,debt_consolidation, 36 months,Source Verified,0.5257508629055693,16231,2013-02-17 11:00:43.577741,4,4,0.4441080319147838,0,62902,fully_paid,0.0,9253.0,9253
28,73057,10 years,MORTGAGE,25907,major_purchase, 36 months,Verified,0.7264304487690589,10572,2007-08-28 11:00:43.577744,5,6,0.5407626458645763,0,1536,fully_paid,0.0,25907.0,25907
42,83582,9 years,OWN,3060,debt_consolidation, 60 months,Verified,0.2147179070812362,24803,2008-04-27 11:00:43.577748,3,4,0.660580440336604,0,24288,fully_paid,0.0,3060.0,3060
30,71221,10 years,MORTGAGE,14008,credit_card, 36 months,Not Verified,0.35795761162070056,12891,2011-02-14 11:00:43.577751,3,2,0.40687073178852506,1,80873,fully_paid,0.0,14008.0,14008
60,71014,7 years,OWN,9099,other, 36 months,Source Verified,0.2970352207278544,38905,2008-06-30 11:00:43.577755,2,8,0.20063492048381826,0,70775,fully_paid,0.0,9099.0,9099
39,52450,4 years,RENT,27839,other, 36 months,Verified,0.24595661705373514,14221,2012-06-20 11:00:43.577758,5,2,0.7739273944590941,0,62571,charged_off,3154.7576256235966,8261.594981564247,27839
25,53427,3 years,MORTGAGE,19188,debt_consolidation, 36 months,Verified,0.22488757991334743,16127,2008-12-31 11:00:43.577761,0,11,0.30457154890876237,1,36635,fully_paid,0.0,19188.0,19188
46,34934,10 years,RENT,10454,debt_consolidation, 36 months,Source Verified,0.2707083580959382,20281,2019-12-21 11:00:43.577765,0,14,0.4507018981627647,0,50411,charged_off,1465.2283823683454,1310.0315407829132,10454
35,113739,3 years,RENT,13041,home_improvement, 36 months,Not Verified,0.2815239079025251,23370,2010-01-09 11:00:43.577769,2,7,0.5110288527174359,1,43257,fully_paid,0.0,13041.0,13041
30,38903,9 years,OWN,28028,debt_consolidation, 36 months,Not Verified,0.3287073172393914,15779,2010-11-30 11:00:43.577772,1,7,0.4795602486752614,0,120013,charged_off,5537.481161925367,21753.79572164284,28028
47,52677,5 years,RENT,8376,other, 36 months,Verified,0.31418466980591475,20063,2009-12-04 11:00:43.577776,2,8,0.21761460539718092,0,59493,fully_paid,0.0,8376.0,8376
23,52039,3 years,RENT,2648,home_improvement, 36 months,Not Verified,0.5522342026147331,16828,2006-12-15 11:00:43.577779,2,13,0.6724104470000867,0,27001,fully_paid,0.0,2648.0,2648
41,92373,5 years,MORTGAGE,17037,home_improvement, 36 months,Source Verified,0.5343752632985197,7214,2006-02-08 11:00:43.577782,3,12,0.0,0,47572,fully_paid,0.0,17037.0,17037
49,62626,2 years,OWN,17195,debt_consolidation, 36 months,Source Verified,0.09329987783760474,4518,2016-07-31 11:00:43.577786,2,2,0.6959580382479003,1,0,charged_off,4480.290891841996,8815.40539654235,17195
28,101193,< 1 year,OWN,19662,home_improvement, 36 months,Source Verified,0.2812819281218871,21992,2020-11-23 11:00:43.577789,1,12,0.7312737822658376,0,0,default,1128.156338052497,9441.692256320253,19662
29,53162,4 years,MORTGAGE,19708,credit_card, 60 months,Verified,0.6501114493020799,30172,2020-04-23 11:00:43.577793,0,4,0.6806400840930359,3,93881,fully_paid,0.0,19708.0,19708
56,76974,10 years,OWN,27394,other, 36 months,Not Verified,0.458804991922183,0,2013-09-25 11:00:43.577796,4,13,0.4391522457138395,1,58210,fully_paid,0.0,27394.0,27394
35,49116,2 years,MORTGAGE,2973,debt_consolidation, 36 months,Verified,0.4668941410116971,654,2017-05-01 11:00:43.577799,5,10,0.5258816737531453,0,36452,fully_paid,0.0,2973.0,2973
38,123628,2 years,RENT,6580,debt_consolidation, 36 months,Verified,0.4477956836127524,557,2013-04-08 11:00:43.577803,2,3,0.366145418772297,3,49204,fully_paid,0.0,6580.0,6580
57,40310,10+ years,OWN,19635,debt_consolidation, 60 months,Not Verified,0.3476677827915084,22751,2007-12-25 11:00:43.577806,5,6,0.5137340051850513,0,46874,fully_paid,0.0,19635.0,19635
61,77745,8 years,MORTGAGE,7260,debt_consolidation, 36 months,Source Verified,0.39179044187204665,23586,2005-12-09 11:00:43.577810,2,4,0.6258313358417154,0,52027,fully_paid,0.0,7260.0,7260
25,85844,1 years,OWN,4803,credit_card, 36 months,Not Verified,0.31922021782711724,5236,2020-04-09 11:00:43.577813,5,13,0.28099208885249705,1,84432,charged_off,1002.5820621288325,2806.870934051691,4803
23,80344,7 years,MORTGAGE,28060,major_purchase, 60 months,Source Verified,0.5711470503952382,37057,2014-06-16 11:00:43.577817,3,13,0.4731424537779624,0,66063,fully_paid,0.0,28060.0,28060
27,65367,5 years,RENT,3660,debt_consolidation, 60 months,Source Verified,0.32104434864926357,11150,2013-07-16 11:00:43.577820,3,14,0.4045602496118072,2,37712,fully_paid,0.0,3660.0,3660
63,66754,< 1 year,RENT,12541,other, 60 months,Not Verified,0.3774087069541779,29356,2009-02-27 11:00:43.577823,5,6,0.7345734640654313,3,0,fully_paid,0.0,12541.0,12541
25,71095,8 years,OWN,14584,debt_consolidation, 36 months,Verified,0.5470674906505014,23085,2008-03-12 11:00:43.577827,2,8,0.3117893076223641,2,19930,default,438.37854246864003,11059.73913562392,14584
50,66324,1 years,RENT,24163,debt_consolidation, 36 months,Not Verified,0.33444159921456623,5418,2014-04-26 11:00:43.577830,2,2,0.6252314144197173,2,72753,fully_paid,0.0,24163.0,24163
39,94096,< 1 year,MORTGAGE,1918,debt_consolidation, 36 months,Verified,0.38585599021995753,10819,2020-12-02 11:00:43.577834,1,4,0.48944730301725337,0,96862,charged_off,698.0335085148502,757.1095417305825,1918
47,125263,7 years,RENT,17908,debt_consolidation, 60 months,Not Verified,0.32836040174244474,6275,2019-03-09 11:00:43.577837,0,12,0.475147712509142,0,23661,fully_paid,0.0,17908.0,17908
55,56062,5 years,MORTGAGE,8767,major_purchase, 36 months,Verified,0.38213301530871735,1556,2009-01-22 11:00:43.577840,0,14,0.6312158792613106,0,19126,fully_paid,0.0,8767.0,8767
31,35754,4 years,MORTGAGE,19393,debt_consolidation, 36 months,Source Verified,0.3351355918179609,12467,2008-11-13 11:00:43.577844,4,7,0.4232024823803376,1,37028,default,5800.621727443271,3609.836845143594,19393
57,67792,7 years,RENT,8652,credit_card, 60 months,Not Verified,0.2928286546861205,3013,2014-01-20 11:00:43.577847,0,8,0.520654077758527,0,103532,fully_paid,0.0,8652.0,8652
35,134492,10 years,RENT,26006,credit_card, 60 months,Source Verified,0.25840941387281957,13250,2015-10-02 11:00:43.577851,4,11,0.7222207798646656,1,54431,charged_off,2062.0931219110666,12424.992798212319,26006
52,49908,2 years,MORTGAGE,8693,major_purchase, 60 months,Not Verified,0.365509847594342,34329,2017-09-20 11:00:43.577855,3,4,0.34460585360734064,2,27132,default,752.1513656471868,4869.977367090759,8693
36,110977,10+ years,MORTGAGE,1000,debt_consolidation, 60 months,Not Verified,0.6036476422197274,21966,2011-07-10 11:00:43.577858,4,5,0.554195179961506,0,39166,fully_paid,0.0,1000.0,1000
29,111942,1 years,OWN,9478,debt_consolidation, 60 months,Not Verified,0.5247394135115949,9428,2009-01-01 11:00:43.577864,4,7,0.6762696670485999,0,34154,fully_paid,0.0,9478.0,9478
35,56160,1 years,RENT,13170,debt_consolidation, 36 months,Not Verified,0.08416366476578485,8612,2015-05-02 11:00:43.577868,0,6,0.5933876105126248,0,71123,charged_off,3801.456122647306,9478.38780884624,13170
44,84224,< 1 year,OWN,22576,credit_card, 60 months,Source Verified,0.3141701012666792,10988,2017-10-16 11:00:43.577871,2,12,0.7562367112990349,1,108604,charged_off,1045.725094306262,4399.239808174378,22576
61,110709,10+ years,MORTGAGE,6191,debt_consolidation, 60 months,Verified,0.2723322862280225,35711,2008-02-16 11:00:43.577874,3,10,0.47603158334510104,1,53924,default,683.0083337709899,604.2410831836787,6191
42,60521,1 years,RENT,6329,other, 36 months,Verified,0.08753536767999454,4116,2018-03-11 11:00:43.577878,1,14,0.6342861526452314,0,82812,charged_off,2296.1297129492,4229.918658472711,6329
37,64910,10+ years,MORTGAGE,21724,credit_card, 36 months,Verified,0.4550557058201635,14982,2020-08-20 11:00:43.577881,4,13,0.7205428980558605,1,9617,fully_paid,0.0,21724.0,21724
39,55457,5 years,RENT,5373,credit_card, 60 months,Verified,0.3807817561662533,19653,2008-09-08 11:00:43.577885,4,2,0.16168274876084748,0,120230,fully_paid,0.0,5373.0,5373
45,44631,10 years,RENT,13747,credit_card, 36 months,Source Verified,0.8045884152613172,27154,2017-06-20 11:00:43.577888,5,14,0.4186441324779951,0,9827,fully_paid,0.0,13747.0,13747
47,53768,7 years,RENT,13889,debt_consolidation, 60 months,Verified,0.3331959331524791,11673,2015-08-10 11:00:43.577891,4,6,0.5758135793008893,0,86355,fully_paid,0.0,13889.0,13889
46,39401,2 years,RENT,16523,credit_card, 36 months,Verified,0.24476488702042262,5373,2020-04-18 11:00:43.577896,2,12,0.6841195148352163,0,60158,fully_paid,0.0,16523.0,16523
62,70852,10 years,RENT,9751,major_purchase, 36 months,Verified,0.22541234106854785,17895,2019-05-13 11:00:43.577899,1,2,0.5487081650426193,0,12256,charged_off,11.596872166963553,6425.188898642853,9751
50,50750,8 years,OWN,8511,other, 36 months,Not Verified,0.3096818693505842,28146,2008-03-21 11:00:43.577903,5,9,0.7793286775118289,1,75033,fully_paid,0.0,8511.0,8511
36,75844,4 years,RENT,17344,other, 36 months,Source Verified,0.5180653248883358,12271,2006-10-18 11:00:43.577906,0,8,0.3931657317304463,3,49127,charged_off,5350.550467269689,9717.272574892622,17344
22,31102,10+ years,RENT,8728,other, 36 months,Source Verified,0.5409736163594141,6605,2014-02-17 11:00:43.577909,3,6,0.25302450446736,0,22648,fully_paid,0.0,8728.0,8728
46,78272,3 years,RENT,5480,debt_consolidation, 36 months,Not Verified,0.9852314677036587,16102,2016-12-04 11:00:43.577913,2,7,0.6589374094414883,2,50322,fully_paid,0.0,5480.0,5480
28,90838,10 years,MORTGAGE,23594,debt_consolidation, 36 months,Verified,0.15868369425850437,0,2018-05-11 11:00:43.577916,1,5,0.47740027352165354,0,504,fully_paid,0.0,23594.0,23594
30,20156,< 1 year,OWN,18416,debt_consolidation, 36 months,Not Verified,0.4172469750594393,12813,2019-06-13 11:00:43.577919,3,10,0.33244270184433466,3,35529,fully_paid,0.0,18416.0,18416
45,79351,8 years,OWN,27372,debt_consolidation, 36 months,Source Verified,0.2631436927148584,26780,2010-08-20 11:00:43.577923,0,4,0.8416835562162635,0,21067,fully_paid,0.0,27372.0,27372
22,100691,2 years,OWN,20487,debt_consolidation, 36 months,Verified,0.4700999543582796,23748,2019-12-28 11:00:43.577926,3,3,0.6493766137332478,0,44528,default,1460.1650253601565,3383.2533223622204,20487
29,39758,< 1 year,MORTGAGE,6122,credit_card, 60 months,Source Verified,0.6766314338266934,13561,2008-02-18 11:00:43.577930,5,8,0.6302296622610637,0,0,fully_paid,0.0,6122.0,6122
45,111814,< 1 year,RENT,15674,credit_card, 36 months,Not Verified,0.572422275806747,31593,2007-12-01 11:00:43.577933,4,14,0.818655301134871,1,0,fully_paid,0.0,15674.0,15674
32,80475,3 years,MORTGAGE,7890,other, 36 months,Source Verified,0.15847909848670783,34098,2019-08-07 11:00:43.577936,4,3,0.42258259333112436,0,24527,fully_paid,0.0,7890.0,7890
38,52374,10+ years,MORTGAGE,3438,home_improvement, 36 months,Not Verified,0.5369315082006094,21640,2006-12-18 11:00:43.577940,2,14,0.7826897471232948,0,48850,fully_paid,0.0,3438.0,3438
29,68605,3 years,MORTGAGE,11869,major_purchase, 36 months,Verified,0.0,322,2011-01-07 11:00:43.577943,3,7,0.5837021693577716,0,20802,fully_paid,0.0,11869.0,11869
56,83958,10 years,RENT,21870,debt_consolidation, 36 months,Verified,0.0,0,2007-01-16 11:00:43.577946,4,12,0.38207063162055765,0,63846,fully_paid,0.0,21870.0,21870
56,71900,< 1 year,MORTGAGE,16924,debt_consolidation, 36 months,Verified,0.35018988776006266,28834,2017-09-11 11:00:43.577950,2,9,0.4986015498992272,0,71062,fully_paid,0.0,16924.0,16924
54,83468,1 years,RENT,5263,credit_card, 60 months,Verified,0.5221360448424925,17447,2013-10-21 11:00:43.577954,2,4,0.537316894895865,0,24675,fully_paid,0.0,5263.0,5263
26,46983,6 years,OWN,11623,debt_consolidation, 60 months,Verified,0.46963937060359584,31355,2011-02-12 11:00:43.577957,5,4,0.7225432446046315,0,91714,charged_off,589.1816279603157,1515.7586813411895,11623
63,74234,2 years,MORTGAGE,13999,debt_consolidation, 60 months,Not Verified,0.7811576468725338,1613,2014-03-29 11:00:43.577961,2,4,0.22999774025469244,0,40912,fully_paid,0.0,13999.0,13999
60,34657,1 years,RENT,3176,debt_consolidation, 36 months,Verified,0.42186539659248995,13388,2013-02-06 11:00:43.577964,0,2,0.15030626650709838,0,104945,fully_paid,0.0,3176.0,3176
62,67219,2 years,MORTGAGE,19992,debt_consolidation, 36 months,Source Verified,0.3786282598421784,25291,2012-09-25 11:00:43.577967,4,10,0.3424876807331435,0,42211,default,6933.197498223432,10536.208035085883,19992
49,47402,10+ years,RENT,13398,credit_card, 36 months,Source Verified,0.6310385680562505,7702,2008-06-02 11:00:43.577971,4,6,0.4864528732573867,0,16350,fully_paid,0.0,13398.0,13398
28,51611,6 years,MORTGAGE,5265,credit_card, 60 months,Not Verified,0.32517346370179273,25147,2021-07-06 11:00:43.577974,1,10,0.6428865548905587,0,86842,fully_paid,0.0,5265.0,5265
30,100902,4 years,OWN,4869,credit_card, 60 months,Not Verified,0.4777496607180952,13772,2008-02-06 11:00:43.577977,0,6,0.4084332699688468,0,18757,charged_off,302.6479570241035,2312.7852840297696,4869
29,97282,6 years,RENT,22704,credit_card, 36 months,Not Verified,0.4897952288843352,15280,2010-06-19 11:00:43.577981,4,8,0.5834289319194266,0,84131,charged_off,2086.25660795192,6038.383687711697,22704
33,85228,10+ years,RENT,12334,debt_consolidation, 36 months,Not Verified,0.20564638845202132,3163,2009-11-02 11:00:43.577984,5,2,0.820627586365356,0,53618,fully_paid,0.0,12334.0,12334
55,42692,9 years,MORTGAGE,23332,debt_consolidation, 36 months,Not Verified,0.47749335855268427,17513,2008-03-12 11:00:43.577988,4,10,0.16014618380987483,0,33323,fully_paid,0.0,23332.0,23332
54,62089,10 years,RENT,26005,debt_consolidation, 60 months,Not Verified,0.8370053857288859,36927,2018-01-22 11:00:43.577991,1,2,0.47279213747678395,0,26947,fully_paid,0.0,26005.0,26005
44,100327,10+ years,RENT,22157,debt_consolidation, 60 months,Not Verified,0.6273299412751092,18880,2018-01-16 11:00:43.577994,3,5,0.9838932473945834,0,47412,default,6367.107511687265,5949.07393233638,22157
45,73542,10 years,RENT,11265,home_improvement, 36 months,Verified,0.2321420926583042,7082,2008-03-08 11:00:43.577998,3,8,0.35785614590243753,0,70395,fully_paid,0.0,11265.0,11265
58,127983,8 years,MORTGAGE,1000,home_improvement, 60 months,Source Verified,0.8677301881109122,28955,2017-12-05 11:00:43.578001,0,12,0.3366227213100562,0,48797,fully_paid,0.0,1000.0,1000
56,79832,1 years,OWN,17190,credit_card, 36 months,Source Verified,0.5378539338250614,7384,2007-01-12 11:00:43.578005,2,13,0.6042123512635205,0,94385,fully_paid,0.0,17190.0,17190
61,74801,8 years,RENT,29641,debt_consolidation, 60 months,Source Verified,0.48484991059500215,32211,2013-09-23 11:00:43.578008,1,10,0.3940476173498392,0,14726,fully_paid,0.0,29641.0,29641
43,62272,9 years,RENT,14752,credit_card, 60 months,Verified,0.38055568825238334,2250,2010-03-06 11:00:43.578011,1,2,0.7151569734706703,0,47101,fully_paid,0.0,14752.0,14752
48,73338,6 years,RENT,1071,credit_card, 60 months,Source Verified,0.5365411295493797,17727,2018-02-13 11:00:43.578015,4,13,0.99501698112568,0,83019,charged_off,178.06787497119907,723.2086530408595,1071
56,66188,10 years,RENT,10275,credit_card, 36 months,Not Verified,0.4223569262659713,30263,2017-01-15 11:00:43.578018,5,14,0.5149466361079994,2,13883,default,2818.7825692208817,6326.514607509797,10275
22,87702,5 years,OWN,13713,credit_card, 36 months,Verified,0.40392889119216924,6331,2014-11-10 11:00:43.578022,4,12,1.0,0,81207,fully_paid,0.0,13713.0,13713
56,93917,6 years,MORTGAGE,7314,credit_card, 36 months,Not Verified,0.3733782272965273,15831,2021-01-15 11:00:43.578025,5,14,0.4094127331598326,0,50593,charged_off,1051.9010592384034,694.6293317377115,7314
58,50350,6 years,RENT,1000,credit_card, 36 months,Not Verified,0.5947533871878186,26572,2015-05-11 11:00:43.578028,1,7,0.46647384701969113,0,53303,fully_paid,0.0,1000.0,1000
35,36719,9 years,RENT,14315,home_improvement, 60 months,Not Verified,0.5725879422484448,0,2013-09-27 11:00:43.578032,2,12,0.3080299046421915,0,39813,fully_paid,0.0,14315.0,14315
24,24094,4 years,RENT,9505,debt_consolidation, 36 months,Not Verified,0.3701211572795151,24268,2015-11-24 11:00:43.578035,3,11,0.40997535883264913,0,13731,fully_paid,0.0,9505.0,9505
22,82699,2 years,MORTGAGE,27408,home_improvement, 36 months,Not Verified,0.09620308328891708,14120,2022-04-25 11:00:43.578038,0,12,0.4522594546996421,0,47635,fully_paid,0.0,27408.0,27408
26,42415,< 1 year,MORTGAGE,15707,debt_consolidation, 60 months,Source Verified,0.4072132120764647,29419,2011-08-24 11:00:43.578042,5,6,0.5827973653918262,1,33326,fully_paid,0.0,15707.0,15707
47,20000,< 1 year,MORTGAGE,18287,debt_consolidation, 36 months,Verified,0.25642472808417416,6725,2014-10-15 11:00:43.578045,3,4,0.2507858871921846,1,95729,charged_off,1539.937719278311,8245.847509443516,18287
35,79714,9 years,RENT,14166,major_purchase, 36 months,Source Verified,0.3052841360363987,1132,2014-10-06 11:00:43.578048,0,11,0.39649166397464036,0,65312,fully_paid,0.0,14166.0,14166
60,132324,2 years,RENT,15656,major_purchase, 36 months,Not Verified,0.37502951631466624,9569,2011-06-18 11:00:43.578052,2,3,0.40156179687611404,0,51034,default,1163.2651801349114,4921.897997238206,15656
48,69848,10 years,RENT,3433,debt_consolidation, 36 months,Not Verified,0.18793680199379167,9360,2022-03-18 11:00:43.578055,1,2,0.6787089781944433,0,89532,fully_paid,0.0,3433.0,3433
30,90962,9 years,RENT,7718,credit_card, 36 months,Not Verified,0.07794036889776801,12935,2013-04-27 11:00:43.578058,2,3,0.5233289204611281,0,48316,fully_paid,0.0,7718.0,7718
36,72045,2 years,OWN,22620,debt_consolidation, 60 months,Verified,0.45839464001335706,10314,2013-06-16 11:00:43.578062,5,13,0.523364827878358,0,71086,fully_paid,0.0,22620.0,22620
36,67527,10+ years,MORTGAGE,16466,credit_card, 36 months,Source Verified,0.40536590618496304,0,2014-01-06 11:00:43.578065,1,14,0.5166512961956838,0,84926,fully_paid,0.0,16466.0,16466
47,92976,8 years,MORTGAGE,12210,other, 60 months,Verified,0.3977181842289669,14050,2014-07-28 11:00:43.578069,4,5,0.15107695830390133,0,41832,default,4074.003830611712,1610.8095850892585,12210
63,62743,9 years,MORTGAGE,18403,major_purchase, 36 months,Verified,0.5021533177187827,17317,2013-11-26 11:00:43.578072,0,7,0.821456237288058,0,63048,fully_paid,0.0,18403.0,18403
34,76684,10+ years,RENT,18541,credit_card, 36 months,Verified,0.2680924255473782,13067,2019-04-04 11:00:43.578076,4,13,0.3150123174778654,0,36899,fully_paid,0.0,18541.0,18541
53,78042,10 years,MORTGAGE,28936,debt_consolidation, 36 months,Verified,0.46649468621642165,17868,2006-04-18 11:00:43.578079,1,6,0.6780151739040295,0,84385,fully_paid,0.0,28936.0,28936
60,53297,9 years,RENT,16141,credit_card, 36 months,Not Verified,0.6674844083145446,15849,2007-05-28 11:00:43.578082,0,5,0.4549655773775089,1,49182,charged_off,6052.838363084654,7790.240442606186,16141
53,94801,10 years,RENT,7562,debt_consolidation, 36 months,Verified,0.34905881182564746,1180,2014-08-02 11:00:43.578086,0,9,0.3777097465514042,3,91118,fully_paid,0.0,7562.0,7562
25,65626,9 years,MORTGAGE,14190,major_purchase, 36 months,Verified,0.7798767521935893,11991,2015-01-07 11:00:43.578089,4,13,0.7087407030627417,2,55965,fully_paid,0.0,14190.0,14190
51,51106,2 years,RENT,19252,other, 36 months,Not Verified,0.40999888542406143,16138,2015-02-12 11:00:43.578093,0,8,0.2612639348041783,0,126375,charged_off,1503.9579680995182,12993.438763512902,19252
58,83412,4 years,OWN,21969,credit_card, 36 months,Source Verified,0.2295241516282416,12628,2021-05-25 11:00:43.578096,1,5,0.2781853854952704,0,28785,fully_paid,0.0,21969.0,21969
44,47538,7 years,RENT,3694,debt_consolidation, 36 months,Verified,0.569936804985676,72,2021-05-19 11:00:43.578100,5,11,0.5314952363136921,0,75791,default,1820.1268223246668,1081.025802762496,3694
